name,acidity,fizziness,intensity,sweetness,tannin,price_euros,rank,ratings_average
Adrianna Vineyard Mundus Bacillus Terrae Malbec,2.8717265,,3.9654257,2.189404,2.6043994,295.0,5,4.6
60 Sessantanni Old Vines Primitivo di Manduria,1.789258,,4.082944,3.1701102,2.2129438,63.95,5,4.5
Limited Edition 10 Vendemmie,3.6990364,,3.312688,2.054572,2.764013,34.2,5,4.5
Malbec Argentino,2.6859064,,3.9999688,2.0987563,2.6157,89.95,5,4.5
Lupicaia,3.1440911,,3.582856,1.7940733,3.1133897,256.25,5,4.5
Barolo Bricco Rocche,4.663758,,3.858728,1.5957669,4.3411164,273.75,5,4.5
Barolo Bricco Rocche,4.663758,,3.858728,1.5957669,4.3411164,325.0,5,4.5
Ribera del Duero,3.6902692,,3.9258716,1.8380817,3.5338376,81.64,5,4.5
Kairos,2.4236004,,3.965739,2.3404412,2.9441109,221.25,5,4.4
Clos des Lambrays Grand Cru,4.186641,,2.967672,1.7482635,2.650363,896.25,5,4.4
Clos du Mesnil,4.546456,4.223847,3.9653275,,,3096.25,6,4.8
Pauillac (Grand Cru Classé),4.201068,,4.22026,1.6716634,4.230456,597.5,6,4.7
Grande Cuvée,4.360128,4.20016,4.090082,,,245.0,6,4.6
Rosé,4.410962,4.1913204,3.881011,,,349.0,6,4.6
Lodovico,2.989398,,3.6530743,1.919053,2.9573863,683.75,6,4.6
Finca Altamira Malbec,2.8588457,,3.952858,2.0809925,2.6432955,99.95,6,4.6
Messorio,3.0969987,,3.5081158,1.9021307,3.0368488,533.75,6,4.6
Brunello di Montalcino Riserva,3.830859,,3.1464493,1.650779,3.602499,1478.75,6,4.6
60 Sessantanni Old Vines Primitivo di Manduria,1.789258,,4.082944,3.1701102,2.2129438,63.95,6,4.5
Tinto,3.5793161,,3.9910455,1.8429217,3.4551678,42.95,6,4.5
The Stork,3.364303,,4.259369,1.9320465,3.072115,57.95,6,4.5
Brut Cuvée Champagne Rosé,4.250294,4.270286,3.850255,,,72.0,6,4.4
Series M,3.6752222,,3.9073677,1.752683,3.2512286,58.0,6,4.4
Baron de L Pouilly-Fumé,3.850036,,2.2868114,1.5027466,,97.95,6,4.4
Le Mesnil Blanc de Blancs (Cuvée S) Brut Champagne,4.508223,4.3527966,3.999383,,,2882.5,7,4.8
Vintage,4.515321,4.369318,4.168281,,,1800.0,7,4.7
Rosé,4.410962,4.1913204,3.881011,,,349.0,7,4.6
Bric Dël Fiasc Barolo,4.6329103,,3.8191528,1.6027927,4.374409,221.25,7,4.5
Messorio,3.0969987,,3.5081158,1.9021307,3.0368488,420.0,7,4.5
Cream Tradición Vos 20 Years,3.5464005,,3.905028,3.813026,,90.0,7,4.4
Dona Ermelinda Grande Reserva,2.8185594,,4.1093764,2.167271,3.301781,29.95,7,4.4
Saint-Émilion Grand Cru (Premier Grand Cru Classé),3.4400706,,4.245782,1.7565886,3.5354245,287.5,7,4.4
Series M,3.6752222,,3.9073677,1.752683,3.2512286,48.0,7,4.4
Graticciaia,2.3604577,,4.776415,2.752427,2.8002653,111.25,7,4.4
Lodovico,2.989398,,3.6530743,1.919053,2.9573863,683.75,8,4.6
Redigaffi Toscana,3.0276775,,3.5147495,1.99489,3.018877,470.0,8,4.6
Brunello di Montalcino,3.877622,,3.150887,1.8619267,3.622076,276.25,8,4.6
Pomerol,3.4038813,,4.1548076,1.6839123,3.5436969,790.0,8,4.6
Castello della Sala Cervaro della Sala,3.8587165,,3.276715,2.3621032,,130.0,8,4.5
Barolo Monprivato,4.551566,,3.528406,1.59358,4.265546,705.0,8,4.5
Bric Dël Fiasc Barolo,4.6329103,,3.8191528,1.6027927,4.374409,221.25,8,4.5
Dona Ermelinda Grande Reserva,2.8185594,,4.1093764,2.167271,3.301781,29.95,8,4.4
